Protein "Molecular weight (g/mol)" d00 d05 d10 d20 d20+06h d20+48h d00 d05 d10 d20 d20+06h d20+48h
Rv0001 56548.6 293 262 212 235 248 256 23.5 4.9 30.8 40.7 33.2 38.7
Rv0002 42113.1 1325 1522 1542 1097 1179 1468 390.6 89.2 79.6 150.9 320.5 242.2
Rv0005 74058.7 693 760 643 523 614 706 80.1 53.2 27.0 21.0 78.7 73.7
Rv0006 92274.3 787 1057 1488 1557 1052 818 19.0 690.2 686.4 929.1 355.6 62.5
Rv0007 31040.9 728 523 439 431 353 607 111.1 123.5 25.1 14.9 20.7 81.6
Rv0008c 15670.9 157 165 161 136 147 139 8.5 27.4 27.4 3.3 11.1 14.5
Rv0009 19239.4 5646 5125 5791 6265 5712 4598 135.9 412.7 230.7 550.1 551.7 507.1
Rv0013 24626.9 148 157 118 92 104 149 16.0 16.5 8.5 12.1 13.2 16.1
Rv0014c 66509.8 274 303 323 250 293 270 11.4 6.9 43.2 25.1 22.0 29.6
Rv0015c 45597.0 299 175 146 147 178 210 15.3 19.6 21.3 22.9 14.4 34.9
Rv0016c 51575.6 186 261 231 223 242 186 16.5 74.1 96.9 16.8 42.7 36.6
Rv0018c 53779.9 346 299 272 249 219 254 64.2 75.3 24.0 21.2 14.4 46.0
Rv0019c 17152.1 304 255 211 222 234 281 16.3 32.4 48.9 23.6 58.3 44.9
Rv0020c 56880.3 2251 2990 3103 2836 2859 2587 153.2 67.4 269.4 365.2 141.1 509.8
Rv0023 27155.7 93 104 98 96 107 94 11.5 8.8 7.5 13.9 16.6 16.4
Rv0025 13099.8 38 22 37 37 35 40 3.6 1.4 1.1 5.1 7.0 7.9
Rv0027 11910.2 92 78 69 53 58 91 8.7 4.6 13.8 4.2 5.5 20.5
Rv0029 39559.2 27 22 20 19 22 29 4.3 4.1 4.3 0.7 1.3 5.6
Rv0035 60961.6 75 59 43 52 50 71 2.7 5.9 15.9 4.9 4.7 16.0
Rv0036c 27546.1 809 883 892 664 725 886 106.7 99.0 258.3 37.4 20.7 189.8
Rv0038 21776.1 205 263 259 266 271 249 22.4 7.9 30.3 40.4 6.7 43.0
Rv0041 107563.0 370 342 324 237 254 331 68.1 40.6 28.9 4.8 16.9 64.8
